Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
Onondaga Indians,,[150],650,Onondaga Indians
Onondaga language,,[150],650,Onondaga language
Onondaga Nation,,[151],651,Onondaga Nation
"Ontario—History—French and Indian War, 1754-1763",y,[151],651,"Ontario ǂx History ǂy French and Indian War, 1754-1763"
Oohenonpa Indians,,[150],650,Oohenonpa Indians
Oowekeeno Indians,,[150],650,Oowekeeno Indians
Oowekyala language,,[150],650,Oowekyala language
Opaskwayak Cree Nation,,[151],651,Opaskwayak Cree Nation
Opata Indians,,[150],650,Opata Indians
Opata language,,[150],650,Opata language
Opaye Indians,,[150],650,Opaye Indians
Oregon Jack Creek (First Nation),,[151],651,Oregon Jack Creek (First Nation)
Orejón Indians,,[150],650,Orejón Indians
Orejón language,,[150],650,Orejón language
Organized Village of Grayling,,[151],651,Organized Village of Grayling
Organized Village of Kake,,[151],651,Organized Village of Kake
Organized Village of Kasaan,,[151],651,Organized Village of Kasaan
Organized Village of Kwethluk,,[151],651,Organized Village of Kwethluk
Organized Village of Saxman,,[151],651,Organized Village of Saxman
Oromocto (First Nation),,[151],651,Oromocto (First Nation)
Orutsararmiut Traditional Native Council,,[151],651,Orutsararmiut Traditional Native Council
Orutsararmuit Native Village,,[151],651,Orutsararmuit Native Village
Osage dance,,[150],650,Osage dance
Osage Indians,,[150],650,Osage Indians
Osage language,,[150],650,Osage language
Osage mythology,,[150],650,Osage mythology
Osage Nation,,[151],651,Osage Nation
"Osage Nation, Oklahoma",,[151],651,"Osage Nation, Oklahoma"
Osage Reservation (Okla.),,[151],651,Osage Reservation (Okla.)
Osage Reserve (Kan.),,[151],651,Osage Reserve (Kan.)
"Osage Tribe, Oklahoma",,[151],651,"Osage Tribe, Oklahoma"
Oscarville Traditional Village,,[151],651,Oscarville Traditional Village
Osnaburgh First Nation,,[151],651,Osnaburgh First Nation
Osoyoos (First Nation),,[151],651,Osoyoos (First Nation)
Otavalo business enterprises,,[150],650,Otavalo business enterprises
Otavalo children,,[150],650,Otavalo children
Otavalo cosmology,,[150],650,Otavalo cosmology
Otavalo Indians,,[150],650,Otavalo Indians
Otavalo mythology,,[150],650,Otavalo mythology
Otavalo textile fabrics,,[150],650,Otavalo textile fabrics
Oto Indians,,[150],650,Oto Indians
Oto language,,[150],650,Oto language
Otoe-Missouria Tribe of Indians,,[151],651,Otoe-Missouria Tribe of Indians
"Otoe-Missouria Tribe of Indians, Oklahoma",,[151],651,"Otoe-Missouria Tribe of Indians, Oklahoma"
Otomaco language,,[150],650,Otomaco language
Otomanguean languages,,[150],650,Otomanguean languages
Otomi architecture,,[150],650,Otomi architecture
Otomi art,,[150],650,Otomi art
Otomi calendar,,[150],650,Otomi calendar
Otomi cartography,,[150],650,Otomi cartography
Otomi cooking,,[150],650,Otomi cooking
Otomi cosmology,,[150],650,Otomi cosmology
Otomi Indians,,[150],650,Otomi Indians
Otomi language,,[150],650,Otomi language
Otomi mythology,,[150],650,Otomi mythology
Otomi textile fabrics,,[150],650,Otomi textile fabrics
Ottawa dialect,,[150],650,Ottawa dialect
Ottawa Indians,,[150],650,Ottawa Indians
Ottawa Indians of the United Bands of Blanchard's Fork and of Roche de Boeuf,,[151],651,Ottawa Indians of the United Bands of Blanchard's Fork and of Roche de Boeuf
Ottawa language,,[150],650,Ottawa language
Ottawa Tribe,,[151],651,Ottawa Tribe
Ottawa Tribe of Oklahoma,,[151],651,Ottawa Tribe of Oklahoma
Otuquis Indians,,[150],650,Otuquis Indians
Oujé-Bougoumou Cree Nation,,[151],651,Oujé-Bougoumou Cree Nation
Overhill Cherokee,,[151],651,Overhill Cherokee
Oxford House Band of Indians,,[151],651,Oxford House Band of Indians
Oxford House First Nation,,[151],651,Oxford House First Nation
Oyaricoulet Indians,,[150],650,Oyaricoulet Indians
Ozette Site (Wash.),,[151],651,Ozette Site (Wash.)
Pabineau (First Nation),,[151],651,Pabineau (First Nation)
Pacamama (Goddess),,[150],650,Pacamama (Goddess)
Pacheedaht First Nation,,[151],651,Pacheedaht First Nation
"Pacific Coast Indians, Wars with, 1847-1865",,[150],650,"Pacific Coast Indians, Wars with, 1847-1865"
Pacific Gulf Yupik Eskimos,,[150],650,Pacific Gulf Yupik Eskimos
Pacific Gulf Yupik language,,[150],650,Pacific Gulf Yupik language
Paez cosmology,,[150],650,Paez cosmology
Paez Indians,,[150],650,Paez Indians
Paez language,,[150],650,Paez language
Paiján culture,,[150],650,Paiján culture
Paipai Indians,,[150],650,Paipai Indians
Paipai language,,[150],650,Paipai language
Paiute baskets,,[150],650,Paiute baskets
Paiute Indian Tribe of Utah,,[151],651,Paiute Indian Tribe of Utah
Paiute Indians,,[150],650,Paiute Indians
Paiute women,,[150],650,Paiute women
"Paiute-Shoshone Indians of the Bishop Community of the Bishop Colony, California",,[151],651,"Paiute-Shoshone Indians of the Bishop Community of the Bishop Colony, California"
"Paiute-Shoshone Indians of the Lone Pine Community of the Lone Pine Reservation, California",,[151],651,"Paiute-Shoshone Indians of the Lone Pine Community of the Lone Pine Reservation, California"
Pakaasnovos Indians,,[150],650,Pakaasnovos Indians
Pakaasnovos language,,[150],650,Pakaasnovos language
"Pala Band of Luiseno Mission Indians of the Pala Reservation, California",,[151],651,"Pala Band of Luiseno Mission Indians of the Pala Reservation, California"
Pala Band of Mission Indians,,[151],651,Pala Band of Mission Indians
Pala Indian Reservation (Calif.),,[151],651,Pala Indian Reservation (Calif.)
Palaihnihan Indians,,[150],650,Palaihnihan Indians
Palaihnihan languages,,[150],650,Palaihnihan languages
Palenque Indians,,[150],650,Palenque Indians
Paleo-Eskimos,,[150],650,Paleo-Eskimos
Paleo-Indians,,[150],650,Paleo-Indians
Palicur Indians,,[150],650,Palicur Indians
Palicur language,,[150],650,Palicur language
Paloos Indians,,[150],650,Paloos Indians
Pame Indians,,[150],650,Pame Indians
Pame language,,[150],650,Pame language
Pamunkey Indian Tribe,,[151],651,Pamunkey Indian Tribe
Pamunkey Indians,,[150],650,Pamunkey Indians
Panamint baskets,,[150],650,Panamint baskets
Panamint Indians,,[150],650,Panamint Indians
Panamint language,,[150],650,Panamint language
Panare baskets,,[150],650,Panare baskets
Panare Indians,,[150],650,Panare Indians
Panare language,,[150],650,Panare language
Pancararu Indians,,[150],650,Pancararu Indians
Panche Indians,,[150],650,Panche Indians
Pangnirtung (Inuit community),,[151],651,Pangnirtung (Inuit community)
Panguingue Creek Site (Alaska),,[151],651,Panguingue Creek Site (Alaska)
Panhandle culture,,[150],650,Panhandle culture
Panoan Indians,,[150],650,Panoan Indians
Panoan languages,,[150],650,Panoan languages
Panzaleo Indians,,[150],650,Panzaleo Indians
Panzaleo mythology,,[150],650,Panzaleo mythology
Panzaleo pottery,,[150],650,Panzaleo pottery
Papago Tribe of Arizona,,[151],651,Papago Tribe of Arizona
Paqtnkek Mi'kmaw Nation,,[151],651,Paqtnkek Mi'kmaw Nation
Paracas culture,,[150],650,Paracas culture
Paraguay—Civilization—Indian influences,y,[151],651,Paraguay ǂx Civilization ǂx Indian influences
Paraguayan Chaco Indian Colony (Paraguay),,[151],651,Paraguayan Chaco Indian Colony (Paraguay)
Parakanã Indians,,[150],650,Parakanã Indians
Paraujano Indians,,[150],650,Paraujano Indians
Paraujano language,,[150],650,Paraujano language
Paressi Indians,,[150],650,Paressi Indians
Paressi language,,[150],650,Paressi language
Parintintin dialect,,[150],650,Parintintin dialect
Parintintin Indians,,[150],650,Parintintin Indians
Parkhill Site (Ont.),,[151],651,Parkhill Site (Ont.)
Parkin Site (Ark.),,[151],651,Parkin Site (Ark.)
Parowan points,,[150],650,Parowan points
Parque Indígena Aripuanã (Brazil),,[151],651,Parque Indígena Aripuanã (Brazil)
Parque Nacional do Xingu (Brazil),,[151],651,Parque Nacional do Xingu (Brazil)
Parry Island First Nation,,[151],651,Parry Island First Nation
Pascagoula Indians,,[150],650,Pascagoula Indians
Pascua Yaqui Tribe of Arizona,,[151],651,Pascua Yaqui Tribe of Arizona
Paskenta Band of Nomlaki Indians of California,,[151],651,Paskenta Band of Nomlaki Indians of California
Pasqua First Nation,,[151],651,Pasqua First Nation
Passamaquoddy Indian Township (Me.),,[151],651,Passamaquoddy Indian Township (Me.)
Passamaquoddy Indians,,[150],650,Passamaquoddy Indians
Passamaquoddy language,,[150],650,Passamaquoddy language
Passamaquoddy Tribe,,[151],651,Passamaquoddy Tribe
Passamaquoddy Tribe of Maine,,[151],651,Passamaquoddy Tribe of Maine
Pasto Indians,,[150],650,Pasto Indians
Pasto language,,[150],650,Pasto language
Pasto languages,,[150],650,Pasto languages
Patagonians,,[150],650,Patagonians
Patamona Indians,,[150],650,Patamona Indians
Patamona language,,[150],650,Patamona language
Patarabueye Indians,,[150],650,Patarabueye Indians
Patashó Indians,,[150],650,Patashó Indians
Patawomeke Site (Va.),,[151],651,Patawomeke Site (Va.)
Patwin Indians,,[150],650,Patwin Indians
Patwin language,,[150],650,Patwin language
Paugusset Indians,,[150],650,Paugusset Indians
Pauingassi First Nation,,[151],651,Pauingassi First Nation
Pauishana Indians,,[150],650,Pauishana Indians
Paul (First Nation),,[151],651,Paul (First Nation)
Paulatuk (Inuit community),,[151],651,Paulatuk (Inuit community)
Pauloff Harbor Village,,[151],651,Pauloff Harbor Village
"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",,[151],651,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California"
Pauquachin (First Nation),,[151],651,Pauquachin (First Nation)
Pauserna Indians,,[150],650,Pauserna Indians
Pauserna language,,[150],650,Pauserna language
Pawnee astronomy,,[150],650,Pawnee astronomy
Pawnee dance,,[150],650,Pawnee dance
Pawnee Indian Reservation (Okla.),,[151],651,Pawnee Indian Reservation (Okla.)
Pawnee Indian Tribe of Oklahoma,,[151],651,Pawnee Indian Tribe of Oklahoma
Pawnee Indians,,[150],650,Pawnee Indians
Pawnee language,,[150],650,Pawnee language
Pawnee mythology,,[150],650,Pawnee mythology
Pawnee Nation of Oklahoma,,[151],651,Pawnee Nation of Oklahoma
Pawnee Reservation (Neb.),,[151],651,Pawnee Reservation (Neb.)
Paya Indians,,[150],650,Paya Indians
Paya mythology,,[150],650,Paya mythology
Payagua Indians (Paraguay),,[150],650,Payagua Indians (Paraguay)
Payaya Indians,,[150],650,Payaya Indians
Pays Plat (First Nation),,[151],651,Pays Plat (First Nation)
"Pease River, Battle of, Tex., 1860",,[150],650,"Pease River, Battle of, Tex., 1860"
Peavine Métis Settlement (Alta.),,[151],651,Peavine Métis Settlement (Alta.)
Peban Indians,,[150],650,Peban Indians
"Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California",,[151],651,"Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California"
Pechanga Reservation (Calif.),,[151],651,Pechanga Reservation (Calif.)
Pecos Pueblo Site (N.M.),,[151],651,Pecos Pueblo Site (N.M.)
Pedro Bay Village,,[151],651,Pedro Bay Village
Pee Dee Indians,,[150],650,Pee Dee Indians
Peepeekisis Cree Nation No. 81,,[151],651,Peepeekisis Cree Nation No. 81
Peerless Trout First Nation,,[151],651,Peerless Trout First Nation
Peguis (First Nation),,[151],651,Peguis (First Nation)
Pehdzeh Ki First Nation,,[151],651,Pehdzeh Ki First Nation
Pehuenche dialect,,[150],650,Pehuenche dialect
Pehuenche Indians,,[150],650,Pehuenche Indians
Peigan Nation,,[151],651,Peigan Nation
Pelican Lake (First Nation),,[151],651,Pelican Lake (First Nation)
Pelota (Indian game),,[150],650,Pelota (Indian game)
Pembina Band of Chippewa Indians,,[151],651,Pembina Band of Chippewa Indians
Pemón Indians,,[150],650,Pemón Indians
Pemón language,,[150],650,Pemón language
Pemón mythology,,[150],650,Pemón mythology
Penelakut Tribe,,[151],651,Penelakut Tribe
Pennacook Indians,,[150],650,Pennacook Indians
"Pennsylvania—History—French and Indian War, 1754-1763",y,[151],651,"Pennsylvania ǂx History ǂy French and Indian War, 1754-1763"
Penobscot art,,[150],650,Penobscot art
Penobscot baskets,,[150],650,Penobscot baskets
Penobscot Indians,,[150],650,Penobscot Indians
Penobscot language,,[150],650,Penobscot language
Penobscot mythology,,[150],650,Penobscot mythology
Penobscot Nation,,[151],651,Penobscot Nation
Penobscot Tribe of Maine,,[151],651,Penobscot Tribe of Maine
Penobscot wood-carving,,[150],650,Penobscot wood-carving
Penticton Indian Band,,[151],651,Penticton Indian Band
Penutian languages,,[150],650,Penutian languages
Peoria Indians,,[150],650,Peoria Indians
Peoria Tribe of Indians of Oklahoma,,[151],651,Peoria Tribe of Indians of Oklahoma
Pequawket Indians,,[150],650,Pequawket Indians
Pequawket Tribe,,[151],651,Pequawket Tribe
Pequot Indians,,[150],650,Pequot Indians
"Pequot War, 1636-1638",,[150],650,"Pequot War, 1636-1638"
Pericu Indians,,[150],650,Pericu Indians
Peru—Civilization—Indian influences,y,[151],651,Peru ǂx Civilization ǂx Indian influences
"Peru—History—Insurrection of Tupac Amaru, 1780-1781",y,[151],651,"Peru ǂx History ǂy Insurrection of Tupac Amaru, 1780-1781"
Peru—History—To 1548,y,[151],651,Peru ǂx History ǂy To 1548
Peruvian literature—Indian authors,y,[150],650,Peruvian literature ǂx Indian authors
Peruvian poetry—Indian authors,y,[150],650,Peruvian poetry ǂx Indian authors
Peter Ballantyne Cree Nation,,[151],651,Peter Ballantyne Cree Nation
Peters (First Nation),,[151],651,Peters (First Nation)
Petersburg Indian Association,,[151],651,Petersburg Indian Association
Petroglyph National Monument (N.M.),,[151],651,Petroglyph National Monument (N.M.)
Peyote songs,,[150],650,Peyote songs
Peyotism,,[150],650,Peyotism
Pheasant Rump Nakota (First Nation),,[151],651,Pheasant Rump Nakota (First Nation)
Piankashaw Indians,,[150],650,Piankashaw Indians
Piankishaw Tribe of Indians,,[151],651,Piankishaw Tribe of Indians
Piapoco Indians,,[150],650,Piapoco Indians
Piapoco language,,[150],650,Piapoco language
Piapot (First Nation),,[151],651,Piapot (First Nation)
Piaroa Indians,,[150],650,Piaroa Indians
Piaroa language,,[150],650,Piaroa language
Piaroa mythology,,[150],650,Piaroa mythology
Piaroa philosophy,,[150],650,Piaroa philosophy
Pic Mobert (First Nation),,[151],651,Pic Mobert (First Nation)
Picayune Rancheria of Chukchansi Indians of California,,[151],651,Picayune Rancheria of Chukchansi Indians of California
Pictograph Cave State Park (Mont.),,[151],651,Pictograph Cave State Park (Mont.)
Pictou Landing (First Nation),,[151],651,Pictou Landing (First Nation)
"Picture dictionaries, Maya",,[150],650,"Picture dictionaries, Maya"
"Picture-writing, Indian",,[150],650,"Picture-writing, Indian"
Piegan Indians,,[150],650,Piegan Indians
"Pigeon Roost Massacre, 1812",,[150],650,"Pigeon Roost Massacre, 1812"
"Pigwacket Fight, 1725",,[150],650,"Pigwacket Fight, 1725"
Piikani Nation,,[151],651,Piikani Nation
Pijao cooking,,[150],650,Pijao cooking
Pijao Indians,,[150],650,Pijao Indians
Pikangikum (First Nation),,[151],651,Pikangikum (First Nation)
Pilaga children,,[150],650,Pilaga children
Pilaga Indians,,[150],650,Pilaga Indians
Pilaga language,,[150],650,Pilaga language
Pillager Band of Chippewa Indians,,[151],651,Pillager Band of Chippewa Indians
Pilot Station Traditional Village,,[151],651,Pilot Station Traditional Village
Pima baskets,,[150],650,Pima baskets
Pima children,,[150],650,Pima children
Pima Indians,,[150],650,Pima Indians
Pima language,,[150],650,Pima language
Pima mythology,,[150],650,Pima mythology
Pima women,,[150],650,Pima women
Pima youth,,[150],650,Pima youth
Piman Indians,,[150],650,Piman Indians
Piman languages,,[150],650,Piman languages
Pinaymootang First Nation,,[151],651,Pinaymootang First Nation
Pine Creek (First Nation),,[151],651,Pine Creek (First Nation)
Pine Ridge Indian Reservation (S.D.),,[151],651,Pine Ridge Indian Reservation (S.D.)
"Pinoleville Pomo Nation, California",,[151],651,"Pinoleville Pomo Nation, California"
Pinoleville Rancheria of Pomo Indians of California,,[151],651,Pinoleville Rancheria of Pomo Indians of California
Pipestone Indian Reservation (Minn.),,[151],651,Pipestone Indian Reservation (Minn.)
Pipil Indians,,[150],650,Pipil Indians
Pipil language,,[150],650,Pipil language
Pipil mythology,,[150],650,Pipil mythology
Pipil pottery,,[150],650,Pipil pottery
Pipipã Indians,,[150],650,Pipipã Indians
Pirahá cosmology,,[150],650,Pirahá cosmology
Pirahá dialect,,[150],650,Pirahá dialect
Pirahá Indians,,[150],650,Pirahá Indians
Piro (Tanoan) language,,[150],650,Piro (Tanoan) language
Piro Indians (Peru),,[150],650,Piro Indians (Peru)
Piro Pueblo Indians,,[150],650,Piro Pueblo Indians
Piscataway Indians,,[150],650,Piscataway Indians
Pisté (Mexico),,[151],651,Pisté (Mexico)
"Pit River Tribe, California",,[151],651,"Pit River Tribe, California"
Pitaguarí Indians,,[150],650,Pitaguarí Indians
Pitka's Point Traditional Council,,[151],651,Pitka's Point Traditional Council
"Pittsburgh (Pa.)—History—French and Indian War, 1754-1763",y,[151],651,"Pittsburgh (Pa.) ǂx History ǂy French and Indian War, 1754-1763"
"Plains of Abraham, Battle of the, Québec, 1759",,[150],650,"Plains of Abraham, Battle of the, Québec, 1759"
